Dealer Code,Store Name,Status,Town,Town Class,Pop Strata,FL  And SM Name,ARL,ZONE,Type,Focus SFS,GG Tgt,"GG
FTD","GG 
MTD","% Ach
GG",LMTD,% Grw,LM,CRR,R DRR,Churn MTD,% SR,LMTD,% Grw,LM,MNP Tgt,"FTD
MNP","MTD
MNP","% Ach
MNP",LMTD,% Grw,LM,CRR,R DRR,CONS Tgt,"FTD
Cons","MTD
Cons","% Ach
Cons",LMTD,% Grw,LM,CRR,R DRR,IOIP Tgt,"FTD
IOIP","MTD
IOIP","% Ach
IOIP",LMTD,% Grw,LM,CRR,R DRR,COCP Tgt,"FTD
COCP","MTD
COCP","% Ach
COCP",LMTD,% Grw,LM,CRR,R DRR,ENT Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,Fam Tgt,"FTD
Fam","MTD
Fam","% Ach
Fam",LMTD,% Grw,LM,CRR,R DRR,Govt Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,SME+SoHo Tgt,"FTD
SME","MTD
SME",% Ach,LMTD,% Grw,LM,CRR,R DRR,SA Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,CONS Fresh Tgt,"FTD
Cons Fresh","MTD
Cons Fresh","% Ach
Cons Fresh",LMTD,% Grw,LM,CRR,R DRR,CONS MNP Tgt,"FTD
MNP","MTD
MNP","% Ach
Cons MNP",LMTD,% Grw,LM,CRR,R DRR,CONS P2P Tgt,"FTD
Cons P2P","MTD
Cons P2P","% Ach
Cons P2P",LMTD,% Grw,LM,CRR,R DRR,IOIP Fresh Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,IOIP MNP Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,IOIP P2P Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,COCP Fresh Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,COCP MNP Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,COCP P2P Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,MNP GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,Cons GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,IOIP GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,COCP GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,ENT GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,Fam GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,Govt GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,SME+SoHo GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,SA GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,CONS Fresh GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,CONS MNP GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,CONS P2P GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,IOIP Fresh GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,IOIP MNP GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,IOIP P2P GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,COCP Fresh GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,COCP MNP GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR,COCP P2P GN Tgt,FTD,MTD,% Ach,LMTD,% Grw,LM,CRR,R DRR
KLVMS65,AKSHAY TELECOMMUNICATIONS KARVIR-VMS,Active,Kolhapur,Large Town,3-10 Lacs,Mangesh Musale,Anshuman Gangreddiwar,Kolhapur,VMS,No,58,2,8,14%,3,167%,7,0,4,4,50%,3,33%,1,12,0,0,0%,0,0%,1,0,1,40,2,8,20%,3,167%,7,0,2,9,0,0,0%,0,0%,0,0,1,9,0,0,0%,0,0%,0,0,1,18,0,0,0%,0,0%,0,0,1,20,2,8,40%,0,0%,2,0,1,2,0,0,0%,0,0%,0,0,0,5,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,16,0,6,38%,1,500%,3,0,1,8,0,0,0%,0,0%,1,0,1,16,2,2,13%,2,0%,3,0,1,4,0,0,0%,0,0%,3,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,3,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,50,2,4,8%,0,0%,6,0,3,11,0,0,0%,0,0%,1,0,1,34,2,4,12%,0,0%,6,0,2,8,0,0,0%,0,0%,0,0,1,8,0,0,0%,0,0%,0,0,1,16,0,0,0%,0,0%,0,0,1,17,2,8,47%,-2,-500%,0,0,1,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,14,0,5,36%,1,400%,3,0,1,7,0,0,0%,0,0%,1,0,1,14,2,-1,-7%,-1,0%,2,0,1,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0
KLVMS55,ANSHUL INFOTECH KARVIR-VMS,Active,Kolhapur,Large Town,3-10 Lacs,Mangesh Musale,Anshuman Gangreddiwar,Kolhapur,VMS,Yes,58,0,10,17%,12,-17%,19,1,3,2,20%,5,-60%,9,12,0,1,8%,1,0%,1,0,1,40,0,7,18%,8,-13%,13,0,2,9,0,3,33%,3,0%,5,0,0,9,0,0,0%,1,-100%,1,0,1,18,0,3,17%,4,-25%,6,0,1,20,0,2,10%,5,-60%,7,0,1,2,0,3,150%,3,0%,5,0,0,5,0,0,0%,1,-100%,1,0,0,2,0,0,0%,0,0%,0,0,0,16,0,7,44%,8,-13%,13,0,1,8,0,0,0%,0,0%,0,0,1,16,0,0,0%,0,0%,0,0,1,4,0,2,50%,2,0%,13,0,0,2,0,1,50%,1,0%,1,0,0,4,0,0,0%,0,0%,1,0,0,4,0,0,0%,1,-100%,13,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,50,0,8,16%,7,14%,10,0,3,11,0,1,9%,1,0%,1,0,1,34,0,5,15%,3,67%,5,0,2,8,0,3,38%,3,0%,5,0,0,8,0,0,0%,1,-100%,0,0,1,16,0,3,19%,4,-25%,5,0,1,17,0,2,12%,3,-33%,5,0,1,2,0,3,150%,3,0%,5,0,0,4,0,0,0%,1,-100%,0,0,0,2,0,0,0%,0,0%,0,0,0,14,0,5,36%,3,67%,5,0,1,7,0,0,0%,0,0%,0,0,1,14,0,0,0%,0,0%,0,0,1,3,0,2,67%,2,0%,3,0,0,2,0,1,50%,1,0%,1,0,0,3,0,0,0%,0,0%,1,0,0,3,0,0,0%,1,-100%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0
KLVMS177,KEDARNATH COMMUNICATION,Active,Kolhapur,Large Town,3-10 Lacs,Mangesh Musale,Anshuman Gangreddiwar,Kolhapur,VMS,No,58,0,6,10%,3,100%,4,0,4,1,17%,3,-67%,2,12,0,1,8%,0,0%,0,0,1,40,0,6,15%,3,100%,3,0,2,9,0,0,0%,0,0%,1,0,1,9,0,0,0%,0,0%,0,0,1,18,0,0,0%,0,0%,1,0,1,20,0,1,5%,1,0%,1,0,1,2,0,0,0%,0,0%,1,0,0,5,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,16,0,3,19%,0,0%,0,0,1,8,0,1,13%,0,0%,0,0,1,16,0,2,13%,3,-33%,3,0,1,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,1,0,0,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,50,1,5,10%,0,0%,2,0,3,11,0,1,9%,0,0%,0,0,1,34,1,5,15%,1,400%,1,0,2,8,0,0,0%,-1,-100%,1,0,1,8,0,0,0%,0,0%,0,0,1,16,0,0,0%,-1,-100%,1,0,1,17,0,1,6%,-1,-200%,0,0,1,2,0,0,0%,-1,-100%,1,0,0,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,14,0,2,14%,-1,-300%,-1,0,1,7,0,1,14%,0,0%,0,0,0,14,1,2,14%,2,0%,2,0,1,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,-1,-100%,1,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0
KLVMS137,KRUSHNA CELLULAR SERVICES KOLHAPUR,Active,Kolhapur,Large Town,3-10 Lacs,Mangesh Musale,Anshuman Gangreddiwar,Kolhapur,VMS,No,58,2,21,36%,14,50%,22,1,3,1,5%,5,-80%,6,12,1,1,8%,1,0%,2,0,1,40,0,11,28%,13,-15%,18,1,2,9,2,10,111%,1,900%,4,1,0,9,0,0,0%,0,0%,0,0,1,18,2,10,56%,1,900%,4,1,1,20,0,4,20%,3,33%,5,0,1,2,2,9,450%,1,800%,4,1,-1,5,0,0,0%,0,0%,0,0,0,2,0,1,50%,0,0%,0,0,0,16,0,7,44%,8,-13%,10,0,1,8,0,0,0%,1,-100%,1,0,1,16,0,4,25%,4,0%,7,0,1,4,0,3,75%,0,0%,10,0,0,2,1,1,50%,0,0%,1,0,0,4,1,6,150%,1,500%,2,0,0,4,0,0,0%,0,0%,10,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,50,1,20,40%,9,122%,16,1,2,11,1,1,9%,1,0%,2,0,1,34,-1,9,26%,10,-10%,14,1,2,8,2,11,138%,-1,-1200%,2,1,0,8,0,0,0%,0,0%,0,0,1,16,2,11,69%,-1,-1200%,2,1,0,17,0,3,18%,2,50%,4,0,1,2,2,10,500%,-1,-1100%,2,1,-1,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,14,-1,5,36%,8,-38%,9,0,1,7,0,0,0%,1,-100%,1,0,1,14,0,4,29%,1,300%,4,0,1,3,0,3,100%,0,0%,1,0,0,2,1,1,50%,0,0%,1,0,0,3,1,7,233%,-1,-800%,0,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0
KLVMS143,NV SYSTEMS KOLHAPUR,Active,Kolhapur,Large Town,3-10 Lacs,Mangesh Musale,Anshuman Gangreddiwar,Kolhapur,VMS,No,58,3,28,48%,37,-24%,53,2,2,3,11%,10,-70%,8,12,2,5,42%,8,-38%,14,0,1,40,3,25,63%,32,-22%,46,1,1,9,0,2,22%,5,-60%,7,0,1,9,0,1,11%,0,0%,0,0,1,18,0,3,17%,5,-40%,7,0,1,20,3,22,110%,20,10%,29,1,0,2,0,2,100%,5,-60%,7,0,0,5,0,1,20%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,16,1,11,69%,9,22%,15,1,0,8,2,5,63%,6,-17%,11,0,0,16,0,9,56%,17,-47%,20,1,1,4,0,1,25%,1,0%,15,0,0,2,0,0,0%,2,-100%,3,0,0,4,0,1,25%,2,-50%,3,0,0,4,0,0,0%,0,0%,15,0,0,2,0,0,0%,0,0%,0,0,0,4,0,1,25%,0,0%,0,0,0,50,3,25,50%,27,-7%,45,1,2,11,2,4,36%,9,-56%,16,0,1,34,3,22,65%,23,-4%,39,1,1,8,0,2,25%,4,-50%,6,0,0,8,0,1,13%,0,0%,0,0,1,16,0,3,19%,4,-25%,6,0,1,17,3,21,124%,19,11%,31,1,0,2,0,2,100%,4,-50%,6,0,0,4,0,1,25%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,14,1,10,71%,6,67%,13,1,0,7,2,4,57%,7,-43%,13,0,0,14,0,8,57%,10,-20%,13,0,0,3,0,1,33%,1,0%,1,0,0,2,0,0,0%,2,-100%,3,0,0,3,0,1,33%,1,0%,2,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,1,33%,0,0%,0,0,0
KLVMS168,SAKSHAM COMMUNICATION,Active,Jaysingpur,Class III Town,20-50K,Mangesh Musale,Anshuman Gangreddiwar,Kolhapur,VMS,Yes,58,0,22,38%,26,-15%,41,1,3,19,86%,13,46%,4,12,0,3,25%,3,0%,4,0,1,40,0,8,20%,17,-53%,29,0,2,9,0,14,156%,9,56%,12,1,0,9,0,0,0%,0,0%,0,0,1,18,0,14,78%,9,56%,12,1,0,20,0,3,15%,1,200%,6,0,1,2,0,14,700%,9,56%,12,1,-1,5,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,16,0,8,50%,10,-20%,17,0,1,8,0,0,0%,0,0%,0,0,1,16,0,0,0%,7,-100%,12,0,1,4,0,9,225%,3,200%,17,1,0,2,0,3,150%,3,0%,4,0,0,4,0,2,50%,3,-33%,4,0,0,4,0,0,0%,0,0%,17,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,50,-1,3,6%,13,-77%,37,0,3,11,0,1,9%,0,0%,1,0,1,34,0,-4,-12%,6,-167%,24,0,3,8,-1,7,88%,5,40%,11,0,0,8,0,0,0%,2,-100%,2,0,1,16,-1,7,44%,7,0%,13,0,1,17,0,0,0%,-5,-100%,4,0,1,2,-1,7,350%,5,40%,11,0,0,4,0,0,0%,2,-100%,2,0,0,2,0,0,0%,0,0%,0,0,0,14,0,2,14%,0,0%,13,0,1,7,0,-2,-29%,-1,100%,-1,0,1,14,0,-4,-29%,7,-157%,12,0,1,3,0,5,167%,3,67%,5,0,0,2,0,3,150%,1,200%,2,0,0,3,-1,-1,-33%,1,-200%,4,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,2,-100%,2,0,0
KLVMS51,SHRI KALBHAIRAV COMMUNICATION GADHINGLAJ-VMS,Active,Gadhinglaj,Class III Town,20-50K,Mangesh Musale,Anshuman Gangreddiwar,Kolhapur,VMS,No,46,3,11,24%,12,-8%,17,1,3,4,36%,6,-33%,4,9,0,0,0%,1,-100%,1,0,1,31,3,9,29%,8,13%,12,1,2,7,0,2,29%,4,-50%,5,0,0,8,0,0,0%,0,0%,0,0,1,15,0,2,13%,4,-50%,5,0,1,16,0,1,6%,2,-50%,4,0,1,2,0,2,100%,4,-50%,5,0,0,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,12,2,8,67%,4,100%,8,0,0,6,0,0,0%,1,-100%,1,0,0,12,1,1,8%,3,-67%,3,0,1,3,0,2,67%,3,-33%,8,0,0,1,0,0,0%,0,0%,0,0,0,3,0,0,0%,1,-100%,1,0,0,3,0,0,0%,0,0%,8,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0,39,3,7,18%,6,17%,13,0,2,8,0,0,0%,1,-100%,1,0,1,26,3,5,19%,2,150%,8,0,2,6,0,2,33%,4,-50%,5,0,0,7,0,0,0%,0,0%,0,0,1,13,0,2,15%,4,-50%,5,0,1,14,0,0,0%,3,-100%,5,0,1,2,0,2,100%,4,-50%,5,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,10,2,4,40%,0,0%,5,0,0,5,0,0,0%,1,-100%,1,0,0,10,1,1,10%,1,0%,2,0,1,3,0,2,67%,3,-33%,4,0,0,1,0,0,0%,0,0%,0,0,0,3,0,0,0%,1,-100%,1,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0
KLVMS107,CHISHTI_ENTERPRISES,Active,Satara,Class I Town,1-3 Lacs,Prasad Gholap,Anshuman Gangreddiwar,Kolhapur,VMS,Yes,60,3,12,20%,22,-45%,51,1,3,5,42%,11,-55%,12,12,0,1,8%,5,-80%,8,0,1,42,3,12,29%,20,-40%,47,1,2,9,0,0,0%,2,-100%,4,0,1,9,0,0,0%,0,0%,0,0,1,18,0,0,0%,2,-100%,4,0,1,21,3,9,43%,15,-40%,36,1,1,2,0,0,0%,2,-100%,4,0,0,5,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,17,3,11,65%,14,-21%,34,1,0,8,0,1,13%,5,-80%,7,0,1,17,0,0,0%,1,-100%,6,0,1,4,0,0,0%,1,-100%,34,0,0,2,0,0,0%,0,0%,1,0,0,4,0,0,0%,1,-100%,1,0,0,4,0,0,0%,0,0%,34,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,52,3,7,13%,11,-36%,39,0,3,11,0,1,9%,5,-80%,8,0,1,36,3,8,22%,9,-11%,35,0,2,8,0,-1,-13%,2,-150%,4,0,1,8,0,0,0%,0,0%,0,0,1,16,0,-1,-6%,2,-150%,4,0,1,18,3,6,33%,11,-45%,31,0,1,2,0,-1,-50%,2,-150%,4,0,0,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,14,3,7,50%,4,75%,24,0,1,7,0,1,14%,5,-80%,7,0,0,14,0,0,0%,0,0%,4,0,1,3,0,-1,-33%,1,-200%,2,0,0,2,0,0,0%,0,0%,1,0,0,3,0,0,0%,1,-100%,1,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0
KLVMS149,LAXMI COMMUNICATION KOLHAPUR,Active,Satara,Class I Town,1-3 Lacs,Prasad Gholap,Anshuman Gangreddiwar,Kolhapur,VMS,No,85,1,24,28%,46,-48%,76,1,4,11,46%,19,-42%,27,18,0,2,11%,8,-75%,10,0,1,59,1,17,29%,33,-48%,60,1,3,13,0,6,46%,10,-40%,13,0,1,13,0,1,8%,3,-67%,3,0,1,26,0,7,27%,13,-46%,16,0,1,30,0,10,33%,17,-41%,32,1,1,3,0,6,200%,10,-40%,13,0,0,7,0,1,14%,3,-67%,3,0,0,3,0,0,0%,0,0%,0,0,0,24,1,12,50%,24,-50%,46,1,1,12,0,1,8%,2,-50%,3,0,1,24,0,4,17%,7,-43%,11,0,1,5,0,4,80%,2,100%,46,0,0,3,0,0,0%,6,-100%,7,0,0,5,0,2,40%,2,0%,3,0,0,5,0,0,0%,3,-100%,46,0,0,3,0,1,33%,0,0%,0,0,0,5,0,0,0%,0,0%,0,0,0,73,0,13,18%,27,-52%,49,1,4,16,0,1,6%,9,-89%,11,0,1,50,0,8,16%,30,-73%,49,0,3,11,0,5,45%,9,-44%,12,0,0,12,0,0,0%,-12,-100%,-12,0,1,23,0,5,22%,-3,-267%,0,0,1,26,0,8,31%,9,-11%,23,0,1,3,0,5,167%,9,-44%,12,0,0,6,0,2,33%,18,-89%,18,0,0,3,0,0,0%,0,0%,0,0,0,20,0,5,25%,21,-76%,36,0,1,10,0,0,0%,3,-100%,4,0,1,20,0,3,15%,6,-50%,9,0,1,4,0,4,100%,2,100%,3,0,0,3,0,0,0%,6,-100%,7,0,0,4,0,1,25%,1,0%,2,0,0,4,0,-1,-25%,-12,-92%,-12,0,0,3,0,1,33%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0
GOAVMS57,R K ENTERPRISES,Active,Ratnagiri,Class II Town,50K- 1 Lac,Prasad Gholap,Anshuman Gangreddiwar,Kolhapur,VMS,No,64,0,8,13%,24,-67%,31,0,4,3,38%,5,-40%,5,13,0,1,8%,6,-83%,7,0,1,45,0,7,16%,21,-67%,27,0,3,10,0,1,10%,3,-67%,4,0,1,9,0,0,0%,0,0%,0,0,1,19,0,1,5%,3,-67%,4,0,1,23,0,2,9%,13,-85%,14,0,2,2,0,1,50%,3,-67%,4,0,0,5,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,18,0,5,28%,9,-44%,14,0,1,9,0,0,0%,5,-100%,6,0,1,18,0,2,11%,7,-71%,7,0,1,4,0,0,0%,2,-100%,14,0,0,2,0,1,50%,1,0%,1,0,0,4,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,14,0,0,2,0,0,0%,0,0%,0,0,0,4,0,0,0%,0,0%,0,0,0,55,0,5,9%,19,-74%,26,0,4,12,0,1,8%,6,-83%,7,0,1,38,0,4,11%,16,-75%,22,0,2,9,0,1,11%,3,-67%,4,0,1,8,0,0,0%,0,0%,0,0,1,17,0,1,6%,3,-67%,4,0,1,20,0,0,0%,11,-100%,12,0,1,2,0,1,50%,3,-67%,4,0,0,4,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,15,0,2,13%,4,-50%,9,0,1,8,0,0,0%,5,-100%,6,0,1,15,0,2,13%,7,-71%,7,0,1,3,0,0,0%,2,-100%,3,0,0,2,0,1,50%,1,0%,1,0,0,3,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0,2,0,0,0%,0,0%,0,0,0,3,0,0,0%,0,0%,0,0,0
